"key","message","comment","context"
"%d times","%d раз",,
"+33000000000",,,
"+33100000000",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<span class='label label-warning'>The selected date is in the past.</span>",,,
"<span class='label label-warning'>There is already a lead with this name.</span>","<span class='label-warning'>Класс разворота='label-warning'>Там уже есть лид с этим именем.</span>.",,
"<span style=""height:21px; line-height: 21px; margin-top:18px; display:inline-block"">VS</span>",,,
"A lost reason must be selected","Должна быть выбрана причина потери",,
"Action","Действие",,
"Activities","Мероприятия",,
"Add","Добавить",,
"Add a guest","Добавить гостя",,
"Address","Адрес",,
"After n repetitions","После n повторений",,
"All past events","Все прошлые события",,
"All upcoming events","Все предстоящие события",,
"All users","Все пользователи",,
"Amount","Сумма",,
"Amount Won","Сумма Выигрыша",,
"Amount won","Сумма выиграна",,
"App Crm","App Crm",,
"Apply changes to all recurrence's events","Применять изменения во всех повторяющихся событиях",,
"Apply changes to this event only","Применять изменения только к этому событию",,
"Apply modifications","Применять изменения",,
"Apply modifications for all","Применять изменения для всех",,
"Are you sure you want to convert the lead?","Ты уверен, что хочешь преоразовать лид?",,
"Assign to","Назначить",,
"Assign to me","Назначить мне",,
"Assignable Users","Назначаемые пользователи",,
"Assigned","Назначенный",,
"Assigned to","Назначенно",,
"At specific date","На конкретную дату",,
"At the date","На дату",,
"Attendee","Посетитель",,
"Available","В наличии",,
"Average duration between lead and first opportunity (days)","Средняя продолжительность между потенциальным покупателем и первой возможностью (дни)",,
"Batchs","Групповые операции",,
"Before start date","До даты начала",,
"Best Open Deals","Лучшие открытые сделки",,
"Best case","Лучший случай",,
"Busy","Занят",,
"CRM","CRM",,
"CRM Activities",""CRM Активность",,
"CRM Batch","CRM шрупповая операция",,
"CRM batches","CRM групповые операции",,
"CRM config","CRM конфиг",,
"CRM config (${ name })","CRM конфиг (${ name })",,
"CRM configuration","CRM конфигурация",,
"CRM configurations","CRM конфигурации",,
"CRM events","CRM события",,
"Call","Звонок",,
"Call emitted Nbr","Звонок исходил Nbr",,
"Call emitted Nbr.","Звонок исходил Nbr.",,
"Call emitted historical","Звонки, которые были сделаны в прошлом",,
"Call filters","Фильтры звонков",,
"Call reminder template","Шаблон напоминания о звонке",,
"Call type","Тип звонка",,
"Calls","Звонки",,
"Calls Dashboard","Панель звонков",,
"Calls Db","Звонки Db",,
"Calls by team by user","Звонки от команды по пользователям",,
"Calls by user(of a team)","Звонки от пользователя (команды)",,
"Calls emitted historical","Звонки, которые были сделаны в прошлом",,
"Calls emitted target completed (%)","Цель выполнена (%) Переданные вызовы завершены",,
"Calls held by team by type","Звонки выполняемые командой по типу",,
"Calls held by type by user","Разбивка звонков по типу по пользователям",,
"Calls type by team","Тип звонков по командам",,
"Calls type by user","Тип звонков по пользователям",,
"Cancel this reminder","Отменить это напоминание",,
"Canceled","Отменен",,
"Cases","Случай",,
"Category","Категория",,
"Characteristics","Характеристики",,
"Chart","Диаграмма",,
"Check duplicate","Проверьте дубликат",,
"City","Город",,
"Civility","Вежливость",,
"Closed Opportunities","Закрытые возможности",,
"Closed Won","Закрыто выиграных",,
"Closed lost","Закрыто проигранных",,
"Closed won","Закрытый выигранный",,
"Code","Код",,
"Company","Компания",,
"Configuration","Конфигурация",,
"Confirm lost reason","Подтвердите причину проигрыша",,
"Contact","Контакт",,
"Contact date","Дата контакта",,
"Contact details","Контактная информация",,
"Contact function","Контактная функция",,
"Contact name","Имя контакта",,
"Contacts","Контакты",,
"Convert","Преобразовать",,
"Convert lead","Преобразовать лид",,
"Convert lead (${ fullName })","Преобразовать лид (${ fullName })",,
"Convert lead into contact","Преоразовать лид в контакт",,
"Convert lead into partner","Преобразовать лид в партнера",,
"Converted","Преобразован",,
"Country","Страна",,
"Create a new reminder","Создать новое напоминание",,
"Create a quotation","Создать коммерческое предложение",,
"Create event","Создать событие",,
"Create new contact","Создать новый контакт",,
"Create new partner","Создать нового партнера",,
"Create opportunity","Создать возможность",,
"Create opportunity (${ fullName })","Создать возможность (${ fullName })",,
"Create order (${ fullName })","Создать заказ (${ fullName })",,
"Create purchase quotation","Создать предложение по закупке",,
"Create sale quotation","Создать коммерческое предложение",,
"Created Nbr","Создан Nb",,
"Created Nbr.","Создан Nbr.",,
"Created Won","Созданн Выигрышем",,
"Created by","Созданный",,
"Created leads by industry sector","Созданые лиды по отраслям промышленности",,
"Created leads per month","Созданные лиды в месяц",,
"Created leads with at least one opportunity","Созданы лиды с хотя бы одной возможностью",,
"Created on","Созданный на",,
"Crm batch","CRM групповые операции",,
"Currency","Валюта",,
"Customer","Клиент",,
"Customer Description","Опиание Клиента",,
"Customer fixed phone","Стационарный телефон клиента",,
"Customer mobile phone","Мобильный телефон клиента",,
"Customer name","Имя клиента",,
"Customer recovery","Восстановние клиента",,
"Customers","Клиенты",,
"Daily","Ежедневно",,
"Daily team call summary by user","Ежедневный сводный отчет о звонках в команде по пользователям",,
"Dashboard","Панель",,
"Day of month","День месяца",,
"Day of week","День недели",,
"Days","Дни",,
"Delete all events","Удалить все события",,
"Delete only this event","Удалить только это событие",,
"Delete this and next events","Удалить это и последующие события",,
"Delivery Address","Адрес доставки",,
"Dep./Div.","Деп./Подр.",,
"Description","Описание",,
"Display customer description in opportunity","Показать описание клиента в возможной сделке",,
"Duration","Продолжительность",,
"Duration type","Тип продолжительности",,
"Email","Электронная почта",,
"Emails","Электронная почта",,
"End","Конец",,
"End date","Дата окончания",,
"Enterprise","Предприятие",,
"Enterprise name","Название предприятия",,
"Error in lead conversion","Ошибка в преобразования лида",,
"Estimated budget","Сметный бюджет",,
"Event","Событие",,
"Event Categories","Категории событий",,
"Event Dashboard 1","Панель событий 1",,
"Event Db","Событие Db",,
"Event categories","Категории событий",,
"Event category","Категория события",,
"Event configuration categories","Категории конфигурации событий",,
"Event filters","Фильтры событий",,
"Event reminder","Напоминание о событии",,
"Event reminder %s","Напоминание о событии %s",,
"Event reminder batch","Пакет напоминаний о событии",,
"Event reminder page","Страница напоминания о событии",,
"Event reminder template","Шаблон напоминания о событии",,
"Event reminders","Напоминания о событиях",,
"Event's reminder's generation's reporting :","Отчет создаваемых напоминаний о событиях :",,
"Events","События",,
"Every %d days","Каждый %d день(ей)",,
"Every %d months the %d","Каждые %d в месяц %d",,
"Every %d weeks","Каждые %d недель(и)",,
"Every %d years the %s","Каждые % в год %s",,
"Every day","Каждый день",,
"Every month","Каждый месяц",,
"Every month the","Каждый месяц",,
"Every week","Каждую неделю",,
"Every year","Каждый год",,
"Every year the","Каждый год",,
"Expected close date","Ожидаемая дата закрытия",,
"Fax","Факс",,
"Finished","Готово",,
"First name","Имя",,
"Fixed Phone","Стационарный Телефон",,
"Fixed phone","Стационарный телефон",,
"Follow up","Последующие действия",,
"Follow-up","Последующая деятельность",,
"For all","Для всех",,
"For me","Для меня",,
"Fr","Пт",,
"Free text","Свободный текст",,
"From Date","С даты",,
"From date must be less than the to date","С сегодняшнего дня должно быть меньше, чем на сегодняшний день.",,
"Function","Функция",,
"General contact details","Общие контактные данные",,
"Generate CRM configurations","Генерация конфигураций CRM",,
"Generate Project","Создать проект",,
"Groups Assignable","Назначаемые группы",,
"Guests","Гости",,
"High","Высоко",,
"Historical Period","Исторический период",,
"Historical events completed","Исторические события завершены",,
"Hours","Часы",,
"Import lead","Импорт лида",,
"Import leads","Импорт лидов",,
"In process","В процессе",,
"Incoming","Входящий",,
"Industry Sector","Промышленный Сектор",,
"Industry sector","Промышленный сектор",,
"Information","Информация",,
"Input location please","Введите местоположение, пожалуйста.",,
"Invoicing Address","Адрес выставления счетов",,
"Job Title","Название работы",,
"Key accounts","Ключевые клиенты",,
"Last name","Фамилия",,
"Lead","Лид",,
"Lead Assigned","Лид Назначен",,
"Lead Converted","Лид Преобразован",,
"Lead Dashboard 1","Панель управени Лидом 1",,
"Lead Db","Лид Db",,
"Lead Db 1","Лид Db 1",,
"Lead converted","Лид преобразован",,
"Lead created","Лид создан",,
"Lead filters","Лид фильтры",,
"Lead.address_information","Адресная Информация",,
"Lead.company","Компания",,
"Lead.email","Эл. почта",,
"Lead.fax","Факс",,
"Lead.header","Заголовок",,
"Lead.industry","Промышленность",,
"Lead.lead_owner","Владелец Лида",,
"Lead.name","Имя",,
"Lead.other_address","Другой адрес",,
"Lead.phone","Телефон",,
"Lead.primary_address","Основной адрес",,
"Lead.source","Источник",,
"Lead.status","Статус",,
"Lead.title","Название",,
"Leads","Лиды",,
"Leads Source","Ссылки на источник",,
"Leads by Country","Лиды по странам",,
"Leads by Salesperson by Status","Лиды по Продавцу по Статусу",,
"Leads by Source","Лиды по Источникам",,
